text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
just,86,31,34,35,16,23,20,55,21,23,26,13,34,20,27,21,32,13,33,3,19,27,12,18,9,14,3,66,24,14,48,15,17,14,19,109,29,9,21,16,29,19,70,83,34,33,20,22,33,30,26,17,11,11,11,57,28,19,27,11,20.328377649313467,27.666666666666668,0.9043423127167094,1501.2082391097376,29
oh,21,34,67,15,7,38,18,27,14,10,36,1,89,9,43,16,11,10,27,5,14,8,23,57,0,3,9,63,29,2,89,38,15,18,34,45,20,5,23,3,9,19,39,46,24,7,17,123,46,36,50,59,11,2,6,44,12,26,109,14,26.41174943987195,28.25,0.8782825877283075,1488.6889861994812,30
on,33,26,30,35,15,43,21,31,13,16,25,19,51,30,20,31,18,17,23,12,22,27,21,4,30,36,7,13,35,17,21,28,16,10,39,44,28,38,29,24,11,16,40,25,27,15,38,17,48,16,27,65,19,15,16,51,31,32,26,25,11.847858515885028,25.966666666666665,0.94059846735669,1465.452412141723,31
she,63,32,14,19,25,69,28,33,14,31,16,10,61,2,56,0,2,20,13,4,1,0,67,0,0,1,0,45,2,37,113,67,20,34,69,62,13,0,7,4,11,23,107,27,65,3,51,9,5,38,13,37,5,12,34,69,1,4,40,10,27.381774630598798,26.966666666666665,0.8678070425260813,1404.1117948071994,32
well,26,37,36,32,32,35,6,13,16,25,44,13,41,20,20,21,31,12,35,7,13,10,54,5,10,6,20,23,44,7,53,57,14,17,42,52,9,5,22,19,22,18,61,32,31,18,9,30,30,10,36,39,18,27,1,34,10,23,53,25,14.949056618573318,25.183333333333334,0.9227186736718966,1394.2279159182358,33
for,34,18,21,22,14,25,14,17,6,15,21,15,36,27,21,35,22,13,27,30,22,20,12,7,18,45,4,19,14,42,25,39,10,10,25,24,14,12,35,22,19,12,38,44,26,21,35,15,30,20,29,33,33,10,14,57,18,27,40,33,10.955018456330006,23.433333333333334,0.9391370445545763,1320.4266846437342,34
did,29,20,20,22,11,31,20,20,15,11,19,13,43,10,22,3,8,12,19,8,8,18,48,9,7,6,8,20,9,17,52,29,16,9,28,37,24,19,18,15,4,36,35,26,32,20,22,14,44,19,24,45,18,8,14,29,8,27,43,16,11.793551335681066,20.616666666666667,0.9255267774459778,1144.8766237006746,35
with,17,35,20,21,27,33,20,13,4,14,10,18,18,20,15,20,32,12,19,25,37,10,33,6,15,25,10,31,22,28,22,17,19,13,14,17,17,7,29,10,14,15,21,60,27,13,28,6,9,12,20,17,25,12,16,26,35,15,23,15,9.52759892328271,19.733333333333334,0.9371425137795145,1109.5767363149453,36
're,29,25,21,22,22,34,12,14,7,19,17,39,45,29,28,36,23,13,8,5,33,15,6,14,3,16,28,18,30,19,19,16,20,16,50,29,11,7,23,12,22,17,22,17,21,17,20,6,18,13,23,20,16,1,9,13,29,16,31,9,9.922453564807583,19.55,0.9339236100327318,1095.4923945683945,37
be,9,15,18,23,15,19,15,32,14,33,8,11,36,44,32,38,31,19,29,15,23,8,22,5,16,63,12,28,51,21,16,18,7,13,37,18,6,12,21,6,21,12,34,18,16,12,25,11,18,11,25,13,14,10,10,19,15,15,21,2,11.536958543280743,19.683333333333334,0.923692595997597,1090.880955873162,38
one,11,24,11,20,7,36,7,24,51,13,17,16,33,11,23,65,8,9,15,8,23,20,26,17,10,10,11,5,66,11,27,16,6,18,25,36,6,21,11,21,11,10,26,28,20,18,12,32,16,7,22,37,8,16,8,41,13,15,26,21,12.98277868458372,19.7,0.9142023442410656,1080.5871708929396,39
no,12,21,37,31,18,22,5,20,14,10,17,13,48,10,51,7,11,4,33,3,9,7,30,21,7,6,11,34,18,2,33,42,32,7,37,56,29,12,13,2,3,25,25,30,30,9,19,16,32,18,25,18,7,4,19,18,20,15,30,9,12.790919713556335,19.45,0.9143837579459614,1067.085845522937,40
or,19,31,31,14,11,29,17,38,29,13,13,23,24,42,22,21,33,16,25,9,7,28,32,4,15,11,20,13,14,15,20,23,8,4,17,51,9,11,12,7,26,3,22,26,21,12,36,9,12,14,22,41,11,5,3,25,2,19,26,19,10.67595376069815,18.916666666666668,0.9265255968042155,1051.6065523727848,41
all,36,23,27,27,10,29,15,19,8,8,13,14,33,17,47,8,26,6,12,11,17,15,32,11,9,10,14,12,14,12,18,29,8,8,18,51,13,10,17,12,7,10,38,17,31,9,15,9,25,12,22,40,14,28,17,22,20,10,32,14,10.378419047278056,18.516666666666666,0.927030329065647,1029.9306955919337,42
not,23,14,14,24,8,25,7,10,14,23,17,25,26,15,25,12,21,10,31,25,9,2,12,14,42,39,9,13,32,20,27,12,34,8,40,35,12,3,10,8,8,12,37,32,16,23,14,8,13,8,19,13,25,5,14,21,23,13,24,14,9.813169981445636,18.2,0.9298040707058176,1015.3460452107528,43
at,22,30,12,21,7,35,7,36,6,19,15,15,28,17,21,12,21,2,26,12,20,18,20,13,7,21,17,16,21,6,13,27,12,14,27,16,9,20,24,28,21,12,29,27,18,7,24,18,18,8,21,13,15,10,16,26,7,16,29,20,7.64198926981712,17.8,0.9441066145637848,1008.305864354122,44
na,23,9,14,10,6,35,17,12,17,43,4,9,43,29,19,27,12,13,22,1,34,7,3,44,7,24,2,11,43,21,22,22,6,11,29,23,20,2,14,1,22,29,48,17,21,9,34,10,11,20,8,16,12,3,0,22,39,19,31,6,12.36653037219121,18.133333333333333,0.911214055784916,991.4008926939885,45
