X,word,model_type,back,hurdle_place,waic,waic_scaled,Is Hur Better
154,need,gen,FALSE,NA,1662.52850448034,8.14964953176635,
153,na,gen,FALSE,NA,8958.84742422953,8.23423476491685,
152,n't,gen,FALSE,NA,24804.6640813982,7.91217355068523,
151,my,hurdle,TRUE,-2,7960.7446594561,7.97669805556723,Yes
150,my,gen,TRUE,NA,8131.06559692412,8.14736031755924,
149,much,hurdle,TRUE,-1,3022.27022731497,9.94167837932557,No
148,much,gen,TRUE,NA,2612.51444577209,8.59379751898715,
147,more,gen,TRUE,NA,3179.09689645824,8.47759172388863,
146,mom,hurdle,FALSE,-1,1153.38606070215,6.94810879941054,
145,mom,gen,FALSE,NA,1173.6380449397,7.07010870445604,
144,mm,gen,TRUE,NA,996.543643239304,2.63635884454842,
143,mhm,gen,FALSE,NA,66.4328617803983,0.0684874863715446,
142,mean,hurdle,FALSE,1,4018.74689960976,6.25973037322392,
141,mean,gen,FALSE,NA,4446.00987219888,6.92524902211663,
140,me,hurdle,TRUE,-2,8960.73286407862,8.24354449317261,
139,me,gen,TRUE,NA,8953.88819982487,8.23724765393272,
138,maybe,gen,FALSE,NA,1945.34827996806,7.62881678418847,
137,make,hurdle,FALSE,-1,2456.26267918783,8.32631416673841,
136,make,gen,FALSE,NA,2495.2778152563,8.45856886527558,
135,lot,gen,FALSE,NA,2217.03191348483,8.69424279797973,
134,look,gen,FALSE,NA,2438.89180664406,8.07580068425185,
133,long,hurdle,TRUE,1,1353.23207538835,8.90284260123914,
132,long,gen,TRUE,NA,1366.12915649784,8.98769181906475,
131,little,hurdle,TRUE,-2,3905.91497725674,8.25774836629332,
130,little,gen,TRUE,NA,3973.7644245493,8.40119328657358,
129,like,hurdle,FALSE,1,18749.4551302896,8.20545082288386,
128,like,gen,FALSE,NA,18185.1529454719,7.95849144221965,
127,let,gen,FALSE,NA,2454.25049106225,7.2826424067129,
126,know,gen,FALSE,NA,16737.4985931457,6.43008013566874,
125,kinda,gen,TRUE,NA,1362.54678028603,8.01498106050608,
124,kind,gen,FALSE,NA,1663.33078119409,8.52990144202095,
123,just,gen,FALSE,NA,13274.8331593581,7.99688744539645,
122,it,hurdle,FALSE,-1,48933.8506273669,8.01668588259615,
121,it,gen,FALSE,NA,49445.7049147574,8.10054143426563,
120,is,hurdle,FALSE,1,20074.5372563298,8.17700091907528,
119,is,gen,FALSE,NA,19660.5726219176,8.00837988672814,
118,into,gen,TRUE,NA,2461.21092857474,8.31490178572547,
117,in,gen,TRUE,NA,24675.7601721088,8.41601642977789,
116,if,hurdle,FALSE,0,8351.11286536301,7.96102275058438,
115,if,gen,FALSE,NA,8207.0913102254,7.82372860841315,
114,i,hurdle,FALSE,1,71034.5226750105,7.35804046768288,
113,i,gen,FALSE,NA,70859.3976821757,7.33990031926411,
112,how,hurdle,FALSE,0,4828.90686659033,8.17073919896841,
111,how,gen,FALSE,NA,4766.33430247703,8.06486345596791,
110,him,hurdle,TRUE,-1,6113.74986253661,9.04400867239143,
109,him,gen,TRUE,NA,5462.66362662031,8.08086335298862,
108,here,hurdle,TRUE,-2,5870.98651721796,7.32957118254427,
107,here,gen,TRUE,NA,5921.92821523241,7.39316880803047,
106,her,hurdle,TRUE,-2,5273.23238846776,8.39686686061745,
105,her,gen,TRUE,NA,5207.4390093247,8.29210033331958,
104,he,hurdle,FALSE,1,23525.9398242648,7.6185038291013,
103,he,gen,FALSE,NA,23472.6458079006,7.60124540411289,
102,have,hurdle,FALSE,1,15771.5423131098,8.29208323507352,
101,have,gen,FALSE,NA,15771.7934716091,8.29221528475765,
100,has,hurdle,FALSE,1,3052.91603632368,8.48032232312134,
99,has,gen,FALSE,NA,3022.38800078399,8.39552222439998,
98,had,hurdle,FALSE,1,7805.74792750186,8.32169288646254,
97,had,gen,FALSE,NA,7845.77620888071,8.36436696042719,
96,guy,gen,TRUE,NA,1743.64439727068,8.50558242571065,
95,guess,hurdle,FALSE,1,1226.07224258323,7.85943745245662,
94,guess,gen,FALSE,NA,1264.39715388273,8.1051099607867,
93,got,gen,FALSE,NA,6060.72240522979,7.95370394387111,
92,good,hurdle,TRUE,-1,4701.98638216749,8.20590991652266,
91,good,gen,TRUE,NA,4269.36249435559,7.45089440550714,
90,gon,gen,FALSE,NA,6590.04631033669,8.20678245371942,
89,going,gen,TRUE,NA,3182.87918823385,8.76826222653953,
88,goes,gen,FALSE,NA,1434.87685347401,7.79824376888047,
87,god,hurdle,TRUE,-1,3085.54277734206,9.37854947520383,
86,god,gen,TRUE,NA,2542.40814572672,7.72768433351587,
85,go,gen,TRUE,NA,7277.71073148709,8.66394134700844,
84,getting,gen,TRUE,NA,1137.76180647885,8.24465077158587,
83,get,gen,TRUE,NA,7574.11990274894,8.5006957382143,
82,from,gen,TRUE,NA,4930.22834005231,8.25833892806081,
81,four,gen,TRUE,NA,1317.34916103947,8.3376529179713,
80,for,hurdle,TRUE,-2,12171.5204287262,8.66300386386205,
79,for,gen,TRUE,NA,11991.3975836762,8.53480255065921,
78,five,gen,TRUE,NA,1292.16023338128,8.23031995784253,
77,first,hurdle,FALSE,-2,1960.29702885717,8.79056963613082,
76,first,gen,FALSE,NA,1934.43318038161,8.67458825283232,
75,everything,hurdle,TRUE,-1,1408.73352691206,8.48634654766299,
74,everything,gen,TRUE,NA,1254.32227456207,7.5561582804944,
73,every,hurdle,FALSE,-2,1171.55861597844,8.25041278858053,
72,every,gen,FALSE,NA,1189.56126216499,8.37719198707741,
71,even,gen,FALSE,NA,2033.03677174757,8.54217130986372,
70,em,hurdle,TRUE,-1,3402.95182304351,8.16055593055996,
69,em,gen,TRUE,NA,3337.90460508751,8.00456739829139,
68,down,gen,TRUE,NA,3470.21695950221,8.34186769111107,
67,doing,hurdle,TRUE,-2,2267.49744649468,8.46081136751746,
66,doing,gen,TRUE,NA,2253.35149235643,8.40802795655383,
65,does,hurdle,FALSE,1,3592.27208285671,8.12731240465319,
64,does,gen,FALSE,NA,3554.89456742727,8.04274789010694,
63,do,hurdle,FALSE,1,22690.4426664876,8.4413849205683,
62,do,gen,FALSE,NA,22647.8260335334,8.42553051842762,
61,different,hurdle,TRUE,-2,1371.30998253964,7.97273245662583,
60,different,gen,TRUE,NA,1398.613272,8.13147251252905,
59,did,hurdle,FALSE,1,10033.9144,8.11149102556186,
58,did,gen,FALSE,NA,9962.52208533015,8.05377694852882,
57,day,gen,TRUE,NA,1528.71433713452,8.21889428566947,
56,could,hurdle,FALSE,1,3853.17222743459,8.19823878177572,
55,could,gen,FALSE,NA,3867.60801331984,8.22895321982945,
54,come,hurdle,TRUE,-2,2792.43490356842,8.59210739559514,
53,come,gen,TRUE,NA,2756.65632678873,8.48201946704225,
52,cause,gen,FALSE,NA,3158.65841282138,5.69127641949798,
51,can,hurdle,FALSE,1,6065.07814447651,8.24059530499526,
50,can,gen,FALSE,NA,6042.77762541193,8.21029568670099,
49,came,gen,FALSE,NA,1399.36057339712,8.23153278468893,
48,call,gen,FALSE,NA,1280.13574684801,8.15373087164335,
47,ca,hurdle,FALSE,1,1942.6153698469,7.24856481286156,
46,ca,gen,FALSE,NA,2032.95410709069,7.58564965332348,
45,by,gen,TRUE,NA,2609.229084,8.28326693461586,
44,but,gen,FALSE,NA,10892.9805568819,5.763481776,
43,big,hurdle,TRUE,-2,1821.82331973063,8.09699253213613,
42,big,gen,TRUE,NA,1851.92086661154,8.23075940716241,
41,before,hurdle,TRUE,0,1229.35007006793,8.03496777822179,
40,before,gen,TRUE,NA,1260.93599173353,8.24141171067665,
39,been,gen,FALSE,NA,3329.27570752843,8.10042751223461,
38,because,gen,FALSE,NA,3649.06232738627,6.61062015830846,
37,be,gen,TRUE,NA,10195.0504622617,8.6325575463689,
36,at,gen,TRUE,NA,8972.70733377647,8.40928522378301,
35,as,gen,TRUE,NA,4815.09603302102,8.52229386375402,
34,around,hurdle,TRUE,-1,2801.31464240243,10.336954400009,
33,around,gen,TRUE,NA,2180.98242940558,8.04790564356304,
32,are,hurdle,FALSE,1,7690.57753649656,8.31413787729358,
31,are,gen,FALSE,NA,7520.80061445216,8.1305952588672,
30,anything,hurdle,TRUE,-1,1915.97598389196,9.53221882533311,
29,anything,gen,TRUE,NA,1620.13096649035,8.06035306711615,
28,any,hurdle,TRUE,-2,2477.06631042121,8.42539561367759,
27,any,gen,TRUE,NA,2505.24121880298,8.52122863538429,
26,another,hurdle,TRUE,-2,1153.92342363046,8.18385406830112,
25,another,gen,TRUE,NA,1157.98056321247,8.21262810788984,
24,and,hurdle,FALSE,1,53614.7786645468,6.82382317227273,
23,and,gen,FALSE,NA,55352.5858622762,7.04500265524706,
22,an,hurdle,TRUE,-2,3099.93924406868,8.11502419913266,
21,an,gen,TRUE,NA,3163.77821429664,8.2821419222425,
20,always,gen,FALSE,NA,1723.97545379427,8.28834352785707,
19,all,gen,TRUE,NA,9365.46068812698,8.42975759507379,
18,after,hurdle,FALSE,0,2595.69710089576,15.7314975811864,
17,after,gen,FALSE,NA,1352.70839010791,8.19823266732065,
16,about,hurdle,TRUE,-2,7526.57248142949,8.53352889050963,
15,about,gen,TRUE,NA,7473.1106725218,8.47291459469592,
14,a,hurdle,TRUE,-2,40608.6787653861,8.3711974366906,
13,a,gen,TRUE,NA,40579.4958001818,8.36518157084763,
12,'ve,hurdle,FALSE,1,3973.29271559368,7.80607606207009,
11,'ve,gen,FALSE,NA,4175.71703054257,8.20376626825653,
10,'s,hurdle,FALSE,1,39022.4187919333,7.19705252525514,
9,'s,gen,FALSE,NA,41759.5138075507,7.70186532784042,
8,'re,hurdle,FALSE,1,9150.09603862267,7.80059338331004,
7,'re,gen,FALSE,NA,9570.79356724806,8.15924430285427,
6,'m,hurdle,FALSE,1,6910.15704950667,7.55208420711112,
5,'m,gen,FALSE,NA,7405.88301328407,8.09386121670391,
4,'ll,hurdle,FALSE,1,4924.58216222238,7.26339551950203,
3,'ll,gen,FALSE,NA,5321.74031623646,7.84917450772339,
2,'d,hurdle,FALSE,1,3430.88292596271,7.59044895124493,
1,'d,gen,FALSE,NA,3668.0105945014,8.115067687,
