"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_mean","alpha_se_mean","alpha_sd","alpha_2.5%","alpha_25%","alpha_50%","alpha_75%","alpha_97.5%","alpha_n_eff","alpha_Rhat","waic","waic_scaled"
"with","hurdle","TRUE","-2","1.39006467785204","0.00343672908022779","0.194179475524347","1.00156011638723","1.25981564767389","1.39187257507309","1.5230254004729","1.76080091269424","3192.39081030594","0.999800324999562","0.263115488996951","0.000615088838746845","0.0350140254371101","0.195460579022452","0.238813452885144","0.262728139819742","0.286923966207307","0.330372129181292","3240.47289282313","0.999963761112425","6.27275490760217","0.00119214725014942","0.0918140992151749","6.09887821179799","6.20965422417567","6.27170907320095","6.33340747135741","6.45657129616467","5931.4237627591","0.999539972182035","9.6684812320442","0.0147521994654889","1.03747789272223","7.85850959110049","8.92203917624931","9.58938628152858","10.32489361765","11.9091963494372","4945.88655632528","1.00018910373567","0.127884432684008","0.0022793276974514","0.13900419853603","-0.136565586690258","0.0327507725127573","0.12748332839","0.222615664415438","0.397517774279465","3719.13805974351","0.999668790351888","-0.127918763885924","0.000347734431539463","0.0209927562088265","-0.16932401606022","-0.142175873668195","-0.127756992808974","-0.113411260583592","-0.0879606650512539","3644.54682241076","1.00007705784598","0.0671775500223727","0.000107403393359818","0.00738104026110701","0.0538617379541503","0.0619327274001817","0.0669701119145162","0.0721074748840777","0.0824857386887684","4722.79552117691","1.00008750633181","10253.3994681415","8.65996576701142"
"work","gen","TRUE",NA,"0.954374496358143","0.0015089797370148","0.0890916296604554","0.788194165947269","0.893716263495241","0.952691091340674","1.01295320433889","1.13373512751934","3485.83631670354","1.00035832433163","0.394573317782479","0.000821285731764943","0.050671154043136","0.297002184967108","0.359594624712646","0.394508801977206","0.427647745717258","0.498284640824207","3806.56311728345","1.00059768508276","6.02286979035843","0.00368439332002621","0.227506564325258","5.59379100952753","5.86749128557945","6.01501916778125","6.17354369459705","6.48587982583001","3812.9041815443","0.999223114015687","8.79060532217113","0.0300779243184014","1.76616859133268","5.91066690899557","7.57366620148625","8.57529707672646","9.77170487988606","12.8987999292838","3448.01058170786","1.00009692424143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1676.33100768337","8.38165503841687"
"would","gen","FALSE",NA,"1.67079779628047","0.000949812473680642","0.0558036660149013","1.56496869693695","1.6321254861665","1.67175297962061","1.70787992606004","1.78228039439867","3451.83258425292","0.999880618654","0.171432675257315","0.000336848420109365","0.0200982091527814","0.131843771725477","0.158041934225405","0.171512866706112","0.184814544110337","0.211601243440059","3559.96471397425","0.999642234543327","5.68510195885897","0.00162669435365956","0.100204595004353","5.48890991918145","5.61674520439073","5.68460745070149","5.75267511754459","5.88176500972601","3794.57687552544","1.00032252222003","10.8167867619399","0.0208217706027749","1.33115964633677","8.51200569514181","9.87823885585074","10.7326815639417","11.6237947411818","13.6918768620356","4087.19136717219","1.00048749619438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7343.49910629192","8.43111263638567"
"would","hurdle","FALSE","1","0.939011970798884","0.00479356832531673","0.251215603293301","0.433935305116859","0.774929167893496","0.939051924468767","1.11343636912125","1.41746368888293","2746.47327184292","1.00028194247374","0.346926514299864","0.000787648440619073","0.0417390788416423","0.26395471887678","0.317797245771132","0.346595469876915","0.374914604938982","0.426967004257089","2808.153769699","1.0002333439812","5.68495134515971","0.00142721327966217","0.100638291801104","5.48047525606812","5.61897088090451","5.68674227294322","5.75313163705207","5.8834670737704","4972.20192335422","1.00012190078318","10.841024619922","0.0208676677403483","1.36403628784174","8.52390343333247","9.89219485229292","10.7135801994798","11.6347423133986","13.9147734687685","4272.71595025335","0.999276614671372","1.09314165412444","0.00340414124691697","0.17072550109952","0.75844823123762","0.975000959201618","1.09531676606988","1.20936874257724","1.4279791081128","2515.2528429351","0.999712474775089","-0.240136524416523","0.000545152271276693","0.0286355889695175","-0.297114162289933","-0.258827596100511","-0.240105210533316","-0.220861939329992","-0.185147487498193","2759.15811288547","0.999789320521182","0.0992183199963316","0.000144342216753177","0.0097846665922906","0.0802420493887263","0.0925405818643484","0.0988617360833302","0.105580092608197","0.119304836358996","4595.20956547893","1.00018673014077","7107.28684286324","8.15991600787973"
"yeah","gen","FALSE",NA,"0.0867261066142796","8.58816471208151e-05","0.00574926243523174","0.0760647207458803","0.082808690631055","0.0865191677063119","0.0905943931548352","0.0985532670739964","4481.50139711117","0.999838216275905","0.236219258556857","0.000429984250329439","0.0299148806182241","0.179659901015218","0.215152818501521","0.235022096219958","0.256530044865484","0.297803891542812","4840.26847629603","1.00049069332434","0.479104790695413","0.000426930980642237","0.0290926010383633","0.424126416996938","0.458688290604156","0.478202747002935","0.4977214046738","0.540378861076257","4643.5460920588","0.999309745364121","0.132237620387133","0.000137440006680622","0.00936684601193149","0.114880159372564","0.125702459793118","0.13173575160419","0.138405179173632","0.151757083631135","4644.72949407862","0.999491067463625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5789.5454942531","2.27219210920451"
"year","gen","TRUE",NA,"0.614742255334039","0.00111076758925409","0.0689805081380836","0.488208801167801","0.566550373283747","0.612730506601779","0.658873691672685","0.757218069983772","3856.61583608332","0.999486831730395","0.539447930930596","0.00096686985936715","0.0566606194255506","0.428880222869674","0.500090164740106","0.53895586068178","0.576618946543788","0.650086481297964","3434.2079717984","1.00031968577725","6.22555880331863","0.00399420363662774","0.260419837298194","5.72462170312953","6.05247943744628","6.21839759018361","6.39502347252428","6.76473741265842","4250.9668765476","0.999623099323104","7.14687646085753","0.023725993642486","1.47550292182454","4.77459644279517","6.10821247886556","6.97525540835355","8.00064802179023","10.5341453062525","3867.50895792047","0.999264904257689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1414.22131081488","8.17468965788948"
"years","gen","TRUE",NA,"0.829869387524251","0.00116980927083651","0.0730028176752133","0.691254590771928","0.780766374684401","0.828619623576777","0.878402955188116","0.97806778783978","3894.47686184791","1.00013663522575","0.43306966616139","0.000712015770374953","0.0456507802603667","0.348735581922976","0.401427232933333","0.432568307490611","0.462980875709192","0.524496664482494","4110.71326026736","0.999856916484097","5.41202406066035","0.00299620981249223","0.209624016152871","5.01460992658115","5.26932279958117","5.41055720063203","5.54924081066812","5.83939177340516","4894.83019743034","0.999824872774219","7.49433635466417","0.0220518915093799","1.45251276144509","5.12228950840343","6.45680548903831","7.33679155057997","8.3796367920384","10.7794765312953","4338.5860850869","1.00024339562071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1830.14411593686","8.17028623186099"
"yes","gen","TRUE",NA,"0.250583327721953","0.000537245490539386","0.0348347491702274","0.187198988881125","0.22691851066364","0.248404187098897","0.273433996144793","0.32191844427091","4204.1656327949","1.0004276885747","0.438402317298669","0.00113539946242686","0.0745784669356674","0.304806807829923","0.385319124096432","0.434362192392851","0.48708172866372","0.588913850926141","4314.49067469722","0.999689493644004","0.667134246213935","0.00145192219425693","0.0946330962957415","0.501912824028493","0.601097142747833","0.658577271016257","0.7257695852282","0.871162089503395","4248.14578368521","0.999343556490442","0.3653326308801","0.00140401069608664","0.084057145165116","0.233219713736592","0.306654304577714","0.355092956894379","0.413182414786099","0.562353073020748","3584.33373046333","0.999943917982169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"843.083853919386","3.81485906750853"
"you","gen","FALSE",NA,"0.88023637214429","0.000237286757422182","0.0135985223745548","0.854240629898743","0.870954162989571","0.880013261907438","0.889292257968862","0.907602844640888","3284.2517278347","1.00028745821458","0.424135426264696","0.000142876250830727","0.00811555730473089","0.4086133611151","0.418771024556485","0.424131257786166","0.429427042871692","0.440463452029496","3226.38809389149","0.99951963008465","4.75355924420221","0.000559119389573577","0.0381256054314313","4.68070431621294","4.72798637213612","4.75350952739568","4.779067116128","4.82744504956212","4649.6942005378","0.999238882336664","4.30182693150802","0.00238309016571853","0.143845441757013","4.02538681278339","4.20511972023201","4.29830203089299","4.39535460315895","4.59822509519127","3643.43696074219","1.00057446255682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58678.5767186828","8.3220219428"
"you","hurdle","FALSE","0","0.956828350042456","0.00084942845258898","0.0433023969509937","0.873319463231897","0.92711248245095","0.95724876659166","0.985975536651771","1.04158789843949","2598.7844862174","1.00126786176601","0.408478717652399","0.000221943595752865","0.0115045268718481","0.386349695655729","0.400611334833138","0.40844402183081","0.416153288917528","0.431507744007511","2686.90486690482","1.00031804093068","4.75392260800766","0.000647531877527059","0.0384704787076912","4.68020577445823","4.72795654331987","4.75371523471041","4.77973930776512","4.83090319576866","3529.66000891854","0.999486333087579","4.30172396768878","0.00244977232698988","0.143514602831765","4.02792010467117","4.20407259256736","4.2988538197312","4.3948606381561","4.59203892247765","3431.94830851711","0.999230311895245","1.15998858369052","0.00100866321162836","0.051178083344047","1.0584235776723","1.12545924588064","1.15983437900385","1.19426895695278","1.25976855422641","2574.39789545898","0.999742676017641","-0.338363805424575","0.000207383586023518","0.0107657963896466","-0.358989804349844","-0.345568914428671","-0.338476022974502","-0.331192034725386","-0.317404889934575","2694.90564376871","0.999362108193994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57358.6532474383","8.13482530810357"
"your","gen","TRUE",NA,"1.83380919414416","0.00119742753044781","0.0683806310180507","1.70217906578216","1.7877975244809","1.83439354431625","1.88039561750394","1.97017690121175","3261.12713766326","0.999918286069477","0.222473001520339","0.000387612314031079","0.0220454624428163","0.181249537146788","0.20722252659404","0.221920209739778","0.237341377893327","0.267712833078722","3234.76917071255","1.00104494040879","5.70469156904809","0.00199581573283082","0.118413043542692","5.47478095814","5.62722313823926","5.7032551602606","5.78129829717118","5.94285587678849","3520.1259600749","1.00023044847252","8.43016403440177","0.0176331369597048","1.04518071375787","6.6228601897364","7.71249503482729","8.34010010367547","9.05699936563101","10.7957844701561","3513.36777067935","0.99971849884904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6102.13645546702","8.78005245390938"
"your","hurdle","TRUE","-2","1.45177658127736","0.00476523259384336","0.259620121317064","0.921926154001258","1.27876154004716","1.46105053582539","1.63409938237992","1.92580156057986","2968.30476819251","0.999845374651352","0.353326119970438","0.000764201116227057","0.0416588124995359","0.273865744059213","0.324469653266276","0.352574348099451","0.382084087567465","0.435305932356018","2971.65533490739","0.999619697227429","5.70791377688353","0.00169298639806333","0.114608864530138","5.48447267659937","5.62851179856236","5.70750157814105","5.78493125988638","5.93776515700109","4582.78498954808","0.999425176281012","8.46019872960701","0.0178982492932914","1.06923219572964","6.64845608724482","7.69790084039629","8.36779446284614","9.11106507344023","10.7616145339344","3568.80607171535","0.999618821150305","0.984025000979659","0.0030285665166078","0.174907966251442","0.636542983481348","0.869760050319392","0.982490551134699","1.09901799468323","1.3298954923273","3335.37713331606","0.999946343302095","-0.195690640792157","0.000484935327910979","0.0278392926401497","-0.250194020374673","-0.2139166901675","-0.19599012774519","-0.177157650836926","-0.141642712781649","3295.70813918554","0.999565119516199","0.0404298243783381","0.000107144269075009","0.00753789814755594","0.027041817495515","0.0349850960891573","0.0401474675291112","0.0453665010414051","0.0566640544979818","4949.51491057416","0.999792656627722","5811.87007607011","8.36240298715124"
"great","gen","TRUE",NA,"0.661642018169446","0.00105240014357608","0.0647561590726285","0.540294141764331","0.616544867645862","0.659353559147563","0.705127547057649","0.792035813863174","3786.17222430814","1.00037098968946","0.368572055848177","0.000864272107071802","0.0526025986142416","0.271956176931185","0.333004982513235","0.366874650840791","0.402846702100096","0.475173148482296","3704.36186123678","0.99994244644119","3.85491995787374","0.00298214679778373","0.189303947146678","3.50027802176495","3.72482254362734","3.85108101937947","3.98347460146443","4.2317358341466","4029.59410845207","0.99999605127979","4.17009241820178","0.0141713748996398","0.860036385825852","2.80815256601298","3.56529295474486","4.05649682683294","4.66223410267005","6.12933795937101","3683.06748294042","0.999837907716754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1505.12094743487","7.45109379918251"
"great","hurdle","TRUE","-1","0.461600353048598","0.00433215533038194","0.215497230143865","0.106746397633892","0.300394272605426","0.443866596729416","0.601820080791891","0.926540408012567","2474.4309827186","0.999522277137754","0.413634583737841","0.00137180958305968","0.0713912761494843","0.268283355726135","0.365758178005837","0.413313972722855","0.462009373492771","0.554143060338131","2708.33651844882","0.999468033338753","3.86028782511481","0.0031278663015599","0.196367847714843","3.50681013820756","3.72467971757064","3.85386112685775","3.99289664402178","4.24741003687533","3941.34450927079","1.00005847517717","4.1349999497628","0.0136840010898599","0.840592962084113","2.79560283131932","3.54513392905298","4.0345861027545","4.63409651635351","6.04880723524782","3773.50820678559","1.00024318203561","2.98057689737823","0.00883468503695511","0.447272835468823","2.16711073192818","2.66711013012661","2.96108183088845","3.27138544147138","3.8768076967779","2563.08437401089","1.00097382384138","-0.800172541376352","0.002285314038877","0.117417028516846","-1.03340438876126","-0.877106966178714","-0.793788263488667","-0.718008486831148","-0.583957633745187","2639.79617841809","1.00127288188849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1418.81910906589","7.02385697557373"
"his","gen","TRUE",NA,"1.93190440195512","0.00129985901941861","0.0717443016341671","1.79536175380786","1.88155618590401","1.93116031121879","1.98074327016331","2.07326344189864","3046.36769290901","1.00058632085224","0.187100377546015","0.000402370575593262","0.0227469980713335","0.14252892114145","0.171540033433757","0.18664288691551","0.202557953702653","0.231811407183683","3195.91892165477","1.00085735879993","5.65818723658289","0.00199733590546063","0.11851519291711","5.42871889258361","5.57783956822334","5.65528324777337","5.7376664742758","5.89315226555835","3520.83633169455","0.999909091854275","10.7565740402827","0.0232678406342513","1.49488719764267","8.15558709292445","9.71602529580183","10.6301518787075","11.6770859076651","14.0273064404529","4127.66729189201","0.999880808428282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5599.30005563174","8.61430777789499"
