"word","model_type","back","hurdle_place","mu_mean","phi_mean","theta_mean","lambda_mean","psi_intercept_mean","psi_slope_mean","alpha_intercept_mean","alpha_slope_mean","waic","waic_scaled"
"yeah","gen",FALSE,NA,0.493825801,0.132972643,0.814160761,0.336747954,NA,NA,NA,NA,4892.438005,1.920109107
"year","hurdle",TRUE,-1,6.22227807,7.183437605,2.156853385,0.396612839,1.787856618,-0.230466586,NA,NA,1370.748819,7.923403577
"years","gen",TRUE,NA,5.467011417,10.98368971,1.252660507,0.850293679,NA,NA,NA,NA,1764.744047,7.878321639
"yes","gen",TRUE,NA,0.769197751,0.384955968,4.066768724,0.68384588,NA,NA,NA,NA,621.3126297,2.811369365
"you","gen",FALSE,NA,4.756183316,4.321569356,1.710136308,0.967509252,NA,NA,NA,NA,55482.7582,7.868778642
"your","hurdle",TRUE,-2,5.725015466,9.775435599,3.077095968,0.297595329,1.079176964,-0.19785694,1.649944156,-1.200126716,5630.17568,8.100972202
"great","hurdle",TRUE,-1,3.862051301,4.167786902,0.914995755,0.390653278,2.96831898,-0.798142334,NA,NA,1410.824291,6.98427867
"his","hurdle",TRUE,-2,5.67543599,13.74382451,3.444908905,0.220504576,0.837451429,-0.165243788,0.142675105,-0.752052163,5189.792461,7.984296095
"man","hurdle",TRUE,-2,4.047033288,2.259028483,4.571209223,0.334816767,0.360208655,-0.455331351,3.535936011,-0.64223677,1287.341436,7.273115456
"remember","gen",FALSE,NA,4.498777997,4.520208171,2.738497294,0.393845489,NA,NA,NA,NA,1340.727134,7.840509554
"alright","gen",FALSE,NA,0.616044285,0.174410407,3.051123507,0.725421693,NA,NA,NA,NA,494.3523703,2.08587498
"give","gen",FALSE,NA,6.685674572,14.78032511,3.030981988,0.64774036,NA,NA,NA,NA,1435.964368,8.863977581
